id_municipio,nome,id_microrregiao
211180,Sítio Novo,21011
210095,Arame,21011
210409,Formosa da Serra Negra,21011
210480,Grajaú,21011
210408,Fernando Falcão,21011
210910,Presidente Dutra,21012
210470,Graça Aranha,21012
210460,Governador Eugênio Barros,21012
211070,São Domingos do Maranhão,21012
210420,Fortuna,21012
211174,Senador Alexandre Costa,21012
210440,Gonçalves Dias,21012
210450,Governador Archer,21012
211125,São José dos Basílios,21012
210462,Governador Luiz Rocha,21012
210380,Dom Pedro,21012
211010,Santa Quitéria do Maranhão,21013
210630,Magalhães de Almeida,21013
211060,São Bernardo,21013
210015,Água Doce do Maranhão,21013
211023,Santana do Maranhão,21013
210090,Araioses,21013
211040,São Benedito do Rio Preto,21014
210173,Belágua,21014
210080,Anapurus,21014
210667,Milagres do Maranhão,21014
210640,Mata Roma,21014
210210,Brejo,21014
210220,Buriti,21014
210320,Chapadinha,21014
211260,Urbano Santos,21014
210043,Alto Alegre do Maranhão,21015
210275,Capinzal do Norte,21015
210330,Codó,21015
210360,Coroatá,21015
210845,Peritoró,21015
211210,Timbiras,21015
210390,Duque Bacelar,21016
210010,Afonso Cunha,21016
210340,Coelho Neto,21016
210030,Aldeias Altas,21016
211107,São João do Soter,21017
210300,Caxias,21017
211220,Timon,21017
210660,Matões,21017
210780,Parnarama,21017
210230,Buriti Bravo,21017
210800,Pastos Bons,21018
210592,Lagoa do Mato,21018
210790,Passagem Franca,21018
211110,São João dos Patos,21018
211195,Sucupira do Riachão,21018
210150,Barão de Grajaú,21018
211090,São Francisco do Maranhão,21018
210770,Paraibano,21018
210730,Nova Iorque,21018
210545,Jatobá,21018
211190,Sucupira do Norte,21018
210670,Mirador,21018
210350,Colinas,21018
211105,São João do Paraíso,21019
210405,Estreito,21019
210255,Campestre do Maranhão,21019
210900,Porto Franco,21019
211157,São Pedro dos Crentes,21019
210280,Carolina,21019
210407,Feira Nova do Maranhão,21020
210950,Riachão,21020
210140,Balsas,21020
210050,Alto Parnaíba,21020
211200,Tasso Fragoso,21020
211065,São Domingos do Azeitão,21021
210180,Benedito Leite,21021
210610,Loreto,21021
210410,Fortaleza dos Nogueiras,21021
211080,São Félix de Balsas,21021
211160,São Raimundo das Mangabeiras,21021
210970,Sambaíba,21021
210725,Nova Colinas,21021
220620,Miguel Alves,22001
220217,Campo Largo do Piauí,22001
220177,Boa Hora,22001
220850,Porto,22001
220205,Cabeceiras do Piauí,22001
220120,Barras,22001
220680,Nossa Senhora dos Remédios,22001
220840,Piripiri,22001
220196,Brasileira,22001
220150,Batalha,22001
220580,Luzilândia,22001
220585,Madeiro,22001
220370,Esperantina,22001
220540,Joaquim Pires,22001
220610,Matias Olímpio,22001
220545,Joca Marques,22001
220997,São João do Arraial,22001
220667,Morro do Chapéu do Piauí,22001
220200,Buriti dos Lopes,22002
220770,Parnaíba,22002
220669,Murici dos Portelas,22002
220570,Luís Correia,22002
220253,Caraúbas do Piauí,22002
220272,Cocal dos Alves,22002
220191,Bom Princípio do Piauí,22002
220270,Cocal,22002
220465,Ilha Grande,22002
220265,Caxingó,22002
220208,Cajueiro da Praia,22002
220830,Piracuruca,22002
221005,São José do Divino,22002
220987,São João da Fronteira,22002
220672,Nazária,22003
220330,Demerval Lobão,22003
220273,Coivaras,22003
220779,Pau D'Arco do Piauí,22003
220558,Lagoa do Piauí,22003
220550,José de Freitas,22003
221110,União,22003
220555,Lagoa Alegre,22003
220640,Monsenhor Gil,22003
220160,Beneditinos,22003
220325,Curralinhos,22003
221100,Teresina,22003
220040,Altos,22003
220630,Miguel Leão,22003
220695,Novo Santo Antônio,22004
220030,Alto Longá,22004
221040,São Miguel do Tapuio,22004
220105,Assunção do Piauí,22004
220675,Nossa Senhora de Nazaré,22004
221065,Sigefredo Pacheco,22004
220202,Buriti dos Montes,22004
220260,Castelo do Piauí,22004
220551,Juazeiro do Piauí,22004
220527,Jatobá do Piauí,22004
220271,Cocal de Telha,22004
220194,Boqueirão do Piauí,22004
220990,São João da Serra,22004
220220,Campo Maior,22004
220790,Pedro II,22004
220557,Lagoa de São Francisco,22004
220240,Capitão de Campos,22004
220635,Milton Brandão,22004
220342,Domingos Mourão,22004
220525,Jardim do Mulato,22005
220710,Olho D'Água do Piauí,22005
220945,Santo Antônio dos Milagres,22005
220060,Angical do Piauí,22005
220980,São Gonçalo do Piauí,22005
220140,Barro Duro,22005
220020,Água Branca,22005
220554,Lagoinha do Piauí,22005
221050,São Pedro do Piauí,22005
220050,Amarante,22005
220880,Regeneração,22005
220775,Passagem Franca do Piauí,22005
220010,Agricolândia,22005
220750,Palmeirais,22005
220460,Hugo Napoleão,22005
220410,Francisco Ayres,22005
220100,Arraial,22005
220350,Elesbão Veloso,22006
220860,Prata do Piauí,22006
221038,São Miguel da Baixa Grande,22006
220400,Francinópolis,22006
220960,São Félix do Piauí,22006
221140,Várzea Grande,22006
220117,Barra D'Alcântara,22006
220559,Lagoa do Sítio,22006
220090,Aroazes,22006
220915,Santa Cruz dos Milagres,22006
220810,Pimenteiras,22006
220470,Inhuma,22006
221130,Valença do Piauí,22006
220690,Novo Oriente do Piauí,22006
220920,Santa Filomena,22007
220890,Ribeiro Gonçalves,22007
221120,Uruçuí,22007
220115,Baixa Grande do Ribeiro,22007
220275,Colônia do Gurguéia,22008
220560,Landri Sales,22008
220600,Marcos Parente,22008
220855,Porto Alegre do Piauí,22008
220080,Antônio Almeida,22008
220590,Manoel Emídio,22008
221063,Sebastião Leal,22008
220170,Bertolínia,22008
220360,Eliseu Martins,22008
221039,São Miguel do Fidalgo,22009
220225,Canavieira,22009
220390,Floriano,22009
220510,Itaueira,22009
220530,Jerumenha,22009
221010,São José do Peixe,22009
220670,Nazaré do Piauí,22009
220450,Guadalupe,22009
220970,São Francisco do Piauí,22009
220380,Flores do Piauí,22009
220785,Pavussu,22009
220900,Rio Grande do Piauí,22009
220660,Monte Alegre do Piauí,22010
220440,Gilbués,22010
220975,São Gonçalo do Gurguéia,22010
220130,Barreiras do Piauí,22010
220930,Santa Luz,22010
220045,Alvorada do Gurguéia,22010
220323,Currais,22010
220870,Redenção do Gurguéia,22010
220740,Palmeira do Piauí,22010
220310,Cristino Castro,22010
220190,Bom Jesus,22010
220345,Dom Inocêncio,22011
221060,São Raimundo Nonato,22011
221135,Várzea Branca,22011
220250,Caracol,22011
220553,Jurema,22011
221035,São Lourenço do Piauí,22011
220070,Anísio de Abreu,22011
220455,Guaribas,22011
220955,São Braz do Piauí,22011
220192,Bonfim do Piauí,22011
220375,Fartura do Piauí,22011
220335,Dirceu Arcoverde,22011
220285,Coronel José Dias,22011
220230,Canto do Buriti,22011
220198,Brejo do Piauí,22011
221095,Tamboril do Piauí,22011
220735,Pajeú do Piauí,22011
220110,Avelino Lopes,22012
220760,Parnaguá,22012
220665,Morro Cabeça no Tempo,22012
220552,Júlio Borges,22012
220290,Corrente,22012
220885,Riacho Frio,22012
221062,Sebastião Barros,22012
220300,Cristalândia do Piauí,22012
220320,Curimatá,22012
220480,Ipiranga do Piauí,22013
220340,Dom Expedito Lopes,22013
220985,São João da Canabrava,22013
220435,Geminiano,22013
220800,Picos,22013
220755,Paquetá,22013
221020,São José do Piauí,22013
220095,Aroeiras do Itaim,22013
220180,Bocaina,22013
221093,Sussuapara,22013
220935,Santana do Piauí,22013
220910,Santa Cruz do Piauí,22013
221037,São Luis do Piauí,22013
221170,Wall Ferraz,22013
220277,Colônia do Piauí,22013
220700,Oeiras,22013
220207,Cajazeiras do Piauí,22013
220995,São João da Varjota,22013
221097,Tanque do Piauí,22013
220937,Santa Rosa do Piauí,22013
220820,Pio IX,22014
220650,Monsenhor Hipólito,22014
220940,Santo Antônio de Lisboa,22014
221030,São Julião,22014
220025,Alagoinha do Piauí,22014
220420,Francisco Santos,22014
220027,Alegrete do Piauí,22014
220430,Fronteiras,22015
220209,Caldeirão Grande do Piauí,22015
221160,Vila Nova do Piauí,22015
220720,Padre Marcos,22015
220490,Isaías Coelho,22015
220415,Francisco Macedo,22015
220500,Itainópolis,22015
220213,Campo Grande do Piauí,22015
220520,Jaicós,22015
220605,Massapê do Piauí,22015
221150,Vera Mendes,22015
220595,Marcolândia,22015
220157,Belém do Piauí,22015
220515,Jacobina do Piauí,22015
220780,Paulistana,22015
220777,Patos do Piauí,22015
221070,Simões,22015
220173,Betânia do Piauí,22015
220865,Queimada Nova,22015
220255,Caridade do Piauí,22015
220005,Acauã,22015
220327,Curral Novo do Piauí,22015
220385,Floresta do Piauí,22015
220950,Santo Inácio do Piauí,22015
220730,Paes Landim,22015
220210,Campinas do Piauí,22015
220965,São Francisco de Assis do Piauí,22015
221090,Socorro do Piauí,22015
221080,Simplício Mendes,22015
220280,Conceição do Canindé,22015
220155,Bela Vista do Piauí,22015
220795,Nova Santa Rita,22015
220556,Lagoa do Barro do Piauí,22015
221000,São João do Piauí,22015
220245,Capitão Gervásio Oliveira,22015
220535,João Costa,22015
220793,Pedro Laurentino,22015
220887,Ribeira do Piauí,22015
220211,Campo Alegre do Fidalgo,22015
230890,Morrinhos,23001
230790,Martinópole,23001
230655,Itarema,23001
230230,Bela Cruz,23001
230725,Jijoca de Jericoacoara,23001
230780,Marco,23001
230425,Cruz,23001
230020,Acaraú,23001
230260,Camocim,23001
230470,Granja,23001
230390,Chaval,23001
230205,Barroquinha,23001
230530,Ibiapina,23002
230340,Carnaubal,23002
230500,Guaraciaba do Norte,23002
231230,São Benedito,23002
230423,Croatá,23002
231410,Viçosa do Ceará,23002
231360,Ubajara,23002
231340,Tianguá,23002
230450,Frecheirinha,23003
230880,Moraújo,23003
230400,Coreaú,23003
231390,Uruoca,23003
230820,Meruoca,23004
230050,Alcântaras,23004
230837,Miraíma,23005
230610,Irauçuba,23005
230465,Graça,23005
231280,Senador Sá,23005
230990,Pacujá,23005
231200,Santana do Acaraú,23005
231290,Sobral,23005
230800,Massapê,23005
230435,Forquilha,23005
230900,Mucambo,23005
230490,Groaíras,23005
230310,Cariré,23005
231100,Poranga,23006
231170,Reriutaba,23006
231395,Varjota,23006
230580,Ipu,23006
231095,Pires Ferreira,23006
230590,Ipueiras,23006
230520,Hidrolândia,23007
231220,Santa Quitéria,23007
230365,Catunda,23007
230640,Itapipoca,23008
231350,Trairi,23008
230075,Amontada,23008
231240,São Gonçalo do Amarante,23009
231020,Paracuru,23009
231025,Paraipaba,23009
231355,Tururu,23010
231380,Uruburetama,23010
231375,Umirim,23010
230630,Itapagé,23010
231260,São Luís do Curu,23011
231335,Tejuçuoca,23011
231070,Pentecoste,23011
230090,Apuiarés,23011
230460,General Sampaio,23011
230660,Itatira,23012
231040,Paramoti,23012
230300,Caridade,23012
230280,Canindé,23012
231010,Palmácia,23013
230650,Itapiúna,23013
230290,Capistrano,23013
230120,Aracoiaba,23013
230140,Aratuba,23013
230910,Mulungu,23013
230210,Baturité,23013
230980,Pacoti,23013
230015,Acarape,23013
230510,Guaramiranga,23013
231160,Redenção,23013
230395,Chorozinho,23014
230945,Ocara,23014
230195,Barreira,23014
